BAS date epoch year locations length length_sigma transverse transverse_sigma horizontal horizonntal_sigma
BAS_LCL: 94OCT04XE EPOCH: 1994.76044 NYALES20/WETTZELL 3283002114.35 1.60 2.17 1.45 10.45 4.58
BAS_LCL: 94OCT24XO EPOCH: 1994.81537 NYALES20/WETTZELL 3283002120.75 3.40 3.41 3.19 15.43 10.99
BAS_LCL: 94OCT26XA EPOCH: 1994.8209 NYALES20/WETTZELL 3283002115.16 1.85 3.65 1.87 0.36 4.01
BAS_LCL: 94DEC13XE EPOCH: 1994.95208 NYALES20/WETTZELL 3283002114.41 1.55 -5.43 1.44 20.29 4.29
BAS_LCL: 94DEC19XO EPOCH: 1994.96829 NYALES20/WETTZELL 3283002114.81 2.48 5.48 2.60 33.06 9.41
BAS_LCL: 94DEC28XA EPOCH: 1994.99338 NYALES20/WETTZELL 3283002118.66 1.89 0.68 1.98 7.47 4.22
BAS_LCL: 94DEC29XA EPOCH: 1994.99635 NYALES20/WETTZELL 3283002117.06 1.47 2.05 1.18 18.08 3.53
BAS_LCL: 95FEB01XC EPOCH: 1995.08921 NYALES20/WETTZELL 3283002109.26 2.06 9.77 1.87 15.67 5.17
BAS_LCL: 95FEB02XB EPOCH: 1995.09217 NYALES20/WETTZELL 3283002113.81 1.25 1.01 1.02 21.61 3.42
BAS_LCL: 95MAR06XA EPOCH: 1995.17888 NYALES20/WETTZELL 3283002112.8 1.96 -1.07 1.67 0.82 5.21
BAS_LCL: 95APR12XA EPOCH: 1995.28086 NYALES20/WETTZELL 3283002115.14 2.26 -1.91 1.53 8.42 3.8
BAS_LCL: 95APR18XE EPOCH: 1995.29706 NYALES20/WETTZELL 3283002113.49 1.65 0.27 1.68 13.84 5.09
BAS_LCL: 95JUN08XA EPOCH: 1995.43714 NYALES20/WETTZELL 3283002103.64 2.87 -8.62 3.02 40.19 5.41
BAS_LCL: 95JUN14XO EPOCH: 1995.45335 NYALES20/WETTZELL 3283002109.69 3.10 -0.36 3.18 16.05 7.47
BAS_LCL: 95JUN27XE EPOCH: 1995.48871 NYALES20/WETTZELL 3283002108.11 2.04 5.27 1.67 4.14 5.0
BAS_LCL: 95JUL31XO EPOCH: 1995.58157 NYALES20/WETTZELL 3283002118.93 9.26 19.39 21.49 -31.19 43.51
BAS_LCL: 95AUG15XE EPOCH: 1995.62287 NYALES20/WETTZELL 3283002120.55 3.06 2.50 2.70 1.28 8.9
BAS_LCL: 95AUG22XE EPOCH: 1995.64203 NYALES20/WETTZELL 3283002124.2 2.24 -1.81 1.91 -0.83 6.38
BAS_LCL: 95AUG23XA EPOCH: 1995.64496 NYALES20/WETTZELL 3283002121.84 1.74 4.87 2.00 -1.09 4.92
BAS_LCL: 95AUG24XA EPOCH: 1995.6477 NYALES20/WETTZELL 3283002115.41 1.49 -1.51 1.59 13.77 3.99
BAS_LCL: 95AUG25XA EPOCH: 1995.65043 NYALES20/WETTZELL 3283002118.78 1.59 -0.95 0.92 5.64 4.8
BAS_LCL: 95AUG26XA EPOCH: 1995.65317 NYALES20/WETTZELL 3283002119.85 1.57 -2.51 1.56 15.42 4.24
BAS_LCL: 95AUG27XA EPOCH: 1995.65591 NYALES20/WETTZELL 3283002119.37 1.61 -0.45 1.57 7.34 4.37
BAS_LCL: 95AUG28XA EPOCH: 1995.65846 NYALES20/WETTZELL 3283002122.2 1.55 -1.24 0.90 1.45 4.63
BAS_LCL: 95AUG29XE EPOCH: 1995.66119 NYALES20/WETTZELL 3283002119.23 2.05 0.12 1.91 18.58 5.78
BAS_LCL: 95AUG31XA EPOCH: 1995.66712 NYALES20/WETTZELL 3283002128.18 3.26 -0.14 2.12 -12.97 6.01
BAS_LCL: 95SEP18XA EPOCH: 1995.7155 NYALES20/WETTZELL 3283002118.73 2.61 -2.19 2.13 13.00 8.32
BAS_LCL: 95OCT31XE EPOCH: 1995.83368 NYALES20/WETTZELL 3283002110.61 1.99 -1.17 1.52 -2.74 5.08
BAS_LCL: 95NOV14XE EPOCH: 1995.87201 NYALES20/WETTZELL 3283002117.87 2.13 -1.98 1.62 -0.81 5.69
BAS_LCL: 95DEC06XA EPOCH: 1995.93247 NYALES20/WETTZELL 3283002112.05 1.43 2.87 1.09 0.18 3.0
BAS_LCL: 95DEC12XE EPOCH: 1995.94867 NYALES20/WETTZELL 3283002115.01 1.60 -2.94 1.40 9.33 4.41
BAS_LCL: 95DEC13XO EPOCH: 1995.95163 NYALES20/WETTZELL 3283002119.53 2.78 2.22 3.20 9.92 7.98
BAS_LCL: 96JAN09XE EPOCH: 1996.02533 NYALES20/WETTZELL 3283002111.9 2.06 0.52 1.82 1.62 5.96
BAS_LCL: 96FEB06XE EPOCH: 1996.10199 NYALES20/WETTZELL 3283002114.68 1.86 3.16 1.52 9.58 5.16
BAS_LCL: 96FEB22XA EPOCH: 1996.14534 NYALES20/WETTZELL 3283002114.66 1.38 -1.36 1.24 11.60 4.47
BAS_LCL: 96MAR05XE EPOCH: 1996.17865 NYALES20/WETTZELL 3283002110.06 1.92 -4.70 1.56 -4.10 5.52
BAS_LCL: 96MAR13XA EPOCH: 1996.20077 NYALES20/WETTZELL 3283002105.92 3.22 0.00 0.39 -0.03 0.54
BAS_LCL: 96MAR26XE EPOCH: 1996.23614 NYALES20/WETTZELL 3283002110.36 2.38 0.81 2.07 2.17 6.99
BAS_LCL: 96APR09XE EPOCH: 1996.27447 NYALES20/WETTZELL 3283002109.68 1.94 0.40 1.93 6.07 5.46
BAS_LCL: 96APR24XO EPOCH: 1996.31577 NYALES20/WETTZELL 3283002107.4 2.67 1.77 2.98 -8.75 8.3
BAS_LCL: 96APR25XA EPOCH: 1996.31874 NYALES20/WETTZELL 3283002110.1 1.68 1.57 1.44 3.44 3.44
BAS_LCL: 96MAY01XO EPOCH: 1996.33493 NYALES20/WETTZELL 3283002115.17 2.51 -1.20 3.08 1.54 6.98
BAS_LCL: 96JUN24XA EPOCH: 1996.48209 NYALES20/WETTZELL 3283002107.55 3.02 6.62 5.09 -5.10 3.92
BAS_LCL: 96JUN25XE EPOCH: 1996.48529 NYALES20/WETTZELL 3283002114.9 2.07 -2.45 1.86 -13.57 6.02
BAS_LCL: 96JUN27XA EPOCH: 1996.49031 NYALES20/WETTZELL 3283002108.99 1.79 0.87 1.45 2.25 5.63
BAS_LCL: 96JUL09XE EPOCH: 1996.52362 NYALES20/WETTZELL 3283002108.26 3.04 -1.17 2.31 -6.54 8.21
BAS_LCL: 96JUL25XA EPOCH: 1996.56697 NYALES20/WETTZELL 3283002111.95 1.95 -1.55 1.46 9.54 5.8
BAS_LCL: 96AUG20XE EPOCH: 1996.63861 NYALES20/WETTZELL 3283002114.58 2.23 -1.74 1.78 -8.42 6.08
BAS_LCL: 96SEP02XA EPOCH: 1996.67397 NYALES20/WETTZELL 3283002120.83 1.55 3.67 1.76 -11.07 4.63
BAS_LCL: 96SEP03XE EPOCH: 1996.67694 NYALES20/WETTZELL 3283002120.8 1.92 1.48 1.67 -6.56 5.35
BAS_LCL: 96SEP04XA EPOCH: 1996.67987 NYALES20/WETTZELL 3283002115.22 1.41 -3.54 1.44 -9.21 4.16
BAS_LCL: 96SEP05XA EPOCH: 1996.68261 NYALES20/WETTZELL 3283002118.47 2.15 -0.54 1.93 -4.24 5.59
BAS_LCL: 96SEP06XA EPOCH: 1996.68538 NYALES20/WETTZELL 3283002115.37 1.63 -1.16 1.71 14.63 4.5
BAS_LCL: 96SEP16XA EPOCH: 1996.7123 NYALES20/WETTZELL 3283002116.1 1.32 -3.92 1.49 3.63 3.85
BAS_LCL: 96SEP17XE EPOCH: 1996.71527 NYALES20/WETTZELL 3283002118.55 1.88 2.57 1.73 12.71 5.29
BAS_LCL: 96SEP18XA EPOCH: 1996.7182 NYALES20/WETTZELL 3283002115.33 1.63 -0.50 1.49 2.51 4.3
BAS_LCL: 96SEP19XA EPOCH: 1996.72094 NYALES20/WETTZELL 3283002119.37 1.27 4.51 1.31 -7.05 3.64
BAS_LCL: 96SEP20XA EPOCH: 1996.72371 NYALES20/WETTZELL 3283002116.46 1.41 2.07 1.40 -16.89 3.82
BAS_LCL: 96SEP30XA EPOCH: 1996.75063 NYALES20/WETTZELL 3283002119.33 1.36 3.30 1.36 4.10 4.09
BAS_LCL: 96OCT01XE EPOCH: 1996.7536 NYALES20/WETTZELL 3283002118.48 2.08 0.68 1.88 8.99 6.26
BAS_LCL: 96OCT02XA EPOCH: 1996.75653 NYALES20/WETTZELL 3283002115.65 1.22 -2.00 1.33 4.34 3.5
BAS_LCL: 96OCT03XA EPOCH: 1996.75927 NYALES20/WETTZELL 3283002114.1 1.28 -0.90 1.30 1.55 3.76
BAS_LCL: 96OCT04XA EPOCH: 1996.76204 NYALES20/WETTZELL 3283002121.55 1.13 1.36 1.12 1.91 3.35
BAS_LCL: 96OCT14XA EPOCH: 1996.78896 NYALES20/WETTZELL 3283002120.06 1.34 7.47 1.51 -5.68 3.99
BAS_LCL: 96OCT16XA EPOCH: 1996.79486 NYALES20/WETTZELL 3283002113.34 1.21 2.09 1.34 -13.01 3.62
BAS_LCL: 96OCT17XA EPOCH: 1996.7976 NYALES20/WETTZELL 3283002112.2 1.30 0.59 1.35 -7.92 3.8
BAS_LCL: 96OCT18XA EPOCH: 1996.80037 NYALES20/WETTZELL 3283002116.22 1.57 0.76 1.44 -8.43 4.2
BAS_LCL: 96OCT22XE EPOCH: 1996.81109 NYALES20/WETTZELL 3283002117.91 2.46 -0.65 2.22 -3.07 7.18
BAS_LCL: 96NOV03XA EPOCH: 1996.84352 NYALES20/WETTZELL 3283002118.14 1.77 -0.18 2.40 10.44 4.12
BAS_LCL: 96NOV04XA EPOCH: 1996.84645 NYALES20/WETTZELL 3283002117.29 1.14 2.88 1.56 -4.42 3.91
BAS_LCL: 96NOV06XA EPOCH: 1996.85235 NYALES20/WETTZELL 3283002118.29 1.48 2.19 1.81 -5.93 4.72
BAS_LCL: 96NOV07XA EPOCH: 1996.85509 NYALES20/WETTZELL 3283002116.27 1.63 0.44 1.62 -0.73 4.71
BAS_LCL: 96NOV08XA EPOCH: 1996.85786 NYALES20/WETTZELL 3283002111.89 1.03 -2.35 1.10 3.89 3.07
BAS_LCL: 96NOV11XA EPOCH: 1996.86562 NYALES20/WETTZELL 3283002115.35 1.18 -0.15 1.27 -11.53 3.46
BAS_LCL: 96NOV12XE EPOCH: 1996.86859 NYALES20/WETTZELL 3283002114.31 1.81 -3.50 1.83 -8.92 5.51
BAS_LCL: 96NOV13XA EPOCH: 1996.87152 NYALES20/WETTZELL 3283002114.68 1.11 -2.82 1.09 -3.43 3.16
BAS_LCL: 96NOV14XA EPOCH: 1996.87426 NYALES20/WETTZELL 3283002110.71 1.48 -1.16 1.35 11.44 4.17
BAS_LCL: 96NOV15XA EPOCH: 1996.87703 NYALES20/WETTZELL 3283002112.14 1.28 0.47 1.28 14.20 3.88
BAS_LCL: 96NOV21XA EPOCH: 1996.89368 NYALES20/WETTZELL 3283002113.95 1.53 -3.10 1.19 1.68 4.56
BAS_LCL: 96NOV26XE EPOCH: 1996.90692 NYALES20/WETTZELL 3283002113.61 2.22 0.65 2.19 22.90 5.86
BAS_LCL: 96DEC02XA EPOCH: 1996.92311 NYALES20/WETTZELL 3283002113.75 2.50 -1.87 2.34 -2.74 8.33
BAS_LCL: 96DEC05XA EPOCH: 1996.93202 NYALES20/WETTZELL 3283002112.5 1.58 4.55 2.43 12.36 3.56
BAS_LCL: 96DEC10XE EPOCH: 1996.94524 NYALES20/WETTZELL 3283002112.79 1.90 -4.49 1.89 7.97 6.28
BAS_LCL: 97JAN08XA EPOCH: 1997.0247 NYALES20/WETTZELL 3283002112.7 1.92 0.24 1.89 8.28 5.2
BAS_LCL: 97JAN14XE EPOCH: 1997.04108 NYALES20/WETTZELL 3283002110.6 1.60 2.33 1.72 0.71 4.55
BAS_LCL: 97JAN28XE EPOCH: 1997.0794 NYALES20/WETTZELL 3283002110.23 1.62 3.59 2.62 -3.18 5.95
BAS_LCL: 97FEB11XE EPOCH: 1997.11773 NYALES20/WETTZELL 3283002112.33 2.94 4.11 2.80 -4.10 9.99
BAS_LCL: 97FEB25XE EPOCH: 1997.15606 NYALES20/WETTZELL 3283002110.86 3.07 -0.43 3.82 5.36 10.32
BAS_LCL: 97MAR25XE EPOCH: 1997.23272 NYALES20/WETTZELL 3283002112.58 2.42 -3.29 2.91 -7.27 7.87
BAS_LCL: 97APR08XE EPOCH: 1997.27105 NYALES20/WETTZELL 3283002108.7 1.99 1.08 3.35 -9.78 6.34
BAS_LCL: 97APR16XA EPOCH: 1997.29301 NYALES20/WETTZELL 3283002112.2 1.61 -4.63 1.66 -2.22 4.14
BAS_LCL: 97APR22XE EPOCH: 1997.30938 NYALES20/WETTZELL 3283002116.71 2.66 0.29 5.67 6.82 7.79
BAS_LCL: 97MAY06XE EPOCH: 1997.34771 NYALES20/WETTZELL 3283002111.57 2.68 -0.75 7.81 1.57 10.26
