station,lon,lat
AGGO,-57.93,-34.91
AIRA,130.6,31.82
ALGOPARK,-78.07,45.96
ARECIBO,-66.25,18.23
ATCA,149.57,-30.31
AUSTINTX,-97.7,30.34
AZORES,-25.66,37.74
BADARY,102.24000000000001,51.77
BERMUDA,-64.67,32.36
BLKBUTTE,-115.72,33.66
BLOOMIND,-86.5,39.18
BREST,-4.5,48.41
BR-VLBA,-119.68,48.13
CARNUSTY,-2.78,56.48
CARROLGA,-85.11,33.57
CEBRER26,-4.37,40.45
CEDUNA,133.81,-31.87
CHICHI10,142.19,27.1
CHLBOLTN,-1.44,51.15
CRIMEA,33.98000000000002,44.4
CTVASBAY,-75.92,45.08
CTVASTJ,-71.49,42.61
DAITO,131.23,25.83
DEADMANL,-116.28,34.26
DSS13,-116.79,35.25
DSS15,-116.89,35.42
DSS26,-116.87,35.36
DSS34,148.98,-35.4
DSS36,148.98,-35.4
DSS45,148.98,-35.4
DSS56,-4.25,40.43
DSS65,-4.25,40.43
DSS65A,-4.25,40.43
EFLSBERG,6.8799999999999955,50.52
ELY,-114.84,39.29
FD-VLBA,-103.94,30.64
FLAGSTAF,-111.63,35.21
FORTLEZA,-38.43,-3.88
FORT_ORD,-121.77,36.67
FORTORDS,-121.77,36.59
FTD_7900,-103.95,30.64
GBT_VLBA,-79.84,38.44
GGAO12M,-76.83,39.02
GGAO7108,-76.83,39.02
GIFU3,136.74,35.46
GILCREEK,-147.5,64.98
GOLDMARS,-116.89,35.43
GOLDVENU,-116.79,35.25
GRASSE,6.920000000000016,43.75
HALEAKAL,-156.26,20.71
HART15M,27.680000000000007,-25.89
HARTRAO,27.689999999999998,-25.89
HATCREEK,-121.47,40.82
HAYSTACK,-71.49,42.62
HN-VLBA,-71.99,42.93
HOBART12,147.44,-42.8
HOBART26,147.44,-42.8
HOFN,-15.2,64.27
HOHENFRG,10.480000000000018,53.05
HOHNBERG,11.019999999999982,47.8
HRAS_085,-103.95,30.64
IRBENE,21.85,57.55
ISHIOKA,140.22,36.21
ITAPETGA,-46.56,-23.18
JODRELL2,-2.3,53.23
JPL_MV1,-118.17,34.21
KANOZAN,139.95,35.26
KARLBURG,13.610000000000014,53.98
KASHIM11,140.66,35.96
KASHIM34,140.66,35.96
KASHIMA,140.66,35.95
KATH12M,132.15,-14.38
KAUAI,-159.67,22.13
KIRSBERG,14.29000000000002,51.21
KITTPEAK,-111.61,31.95
KODIAK,-152.5,57.74
KOGANEI3,139.49,35.71
KOGANEI,139.49,35.71
KOKEE12M,-159.66,22.13
KOKEE,-159.67,22.13
KP-VLBA,-111.61,31.96
KUNMING,102.80000000000001,24.88
KWAJAL26,167.48,9.4
LA-VLBA,-106.25,35.78
LEONRDOK,-95.8,35.91
MACGO12M,-104.01,30.4
MADRID64,-4.25,40.43
MAMMOTHL,-118.95,37.64
MARCUS,153.98,24.29
MARPOINT,-77.23,38.37
MATERA,16.69999999999999,40.65
