station,x,y
AGGO____,-57.93,-34.91
AIRA____,130.6,31.82
ALGOPARK,-78.07,45.96
AUSTINTX,-97.7,30.34
AZORES__,-25.66,37.74
BADARY__,102.24000000000001,51.77
BERMUDA_,-64.67,32.36
BLKBUTTE,-115.72,33.66
BLOOMIND,-86.5,39.18
BREST___,-4.5,48.41
BR-VLBA_,-119.68,48.13
CARNUSTY,-2.78,56.48
CARROLGA,-85.11,33.57
CHICHI10,142.19,27.1
CHLBOLTN,-1.44,51.15
CRIMEA__,33.98000000000002,44.4
CTVASBAY,-75.92,45.08
CTVASTJ_,-71.49,42.61
DEADMANL,-116.28,34.26
DSS13___,-116.79,35.25
DSS15___,-116.89,35.42
DSS26___,-116.87,35.36
DSS34___,148.98,-35.4
DSS36___,148.98,-35.4
DSS45___,148.98,-35.4
DSS56___,-4.25,40.43
DSS65___,-4.25,40.43
DSS65A__,-4.25,40.43
EFLSBERG,6.8799999999999955,50.52
ELY_____,-114.84,39.29
FD-VLBA_,-103.94,30.64
FLAGSTAF,-111.63,35.21
FORTLEZA,-38.43,-3.88
FORT_ORD,-121.77,36.67
FORTORDS,-121.77,36.59
FTD_7900,-103.95,30.64
GGAO12M_,-76.83,39.02
GGAO7108,-76.83,39.02
GILCREEK,-147.5,64.98
GOLDVENU,-116.79,35.25
GRASSE__,6.920000000000016,43.75
HALEAKAL,-156.26,20.71
HART15M_,27.680000000000007,-25.89
HARTRAO_,27.689999999999998,-25.89
HATCREEK,-121.47,40.82
HAYSTACK,-71.49,42.62
HN-VLBA_,-71.99,42.93
HOBART12,147.44,-42.8
HOBART26,147.44,-42.8
HOFN____,-15.2,64.27
HOHENFRG,10.480000000000018,53.05
HOHNBERG,11.019999999999982,47.8
HRAS_085,-103.95,30.64
ISHIOKA_,140.22,36.21
JPL_MV1_,-118.17,34.21
KANOZAN_,139.95,35.26
KARLBURG,13.610000000000014,53.98
KASHIM11,140.66,35.96
KASHIM34,140.66,35.96
KASHIMA_,140.66,35.95
KATH12M_,132.15,-14.38
KAUAI___,-159.67,22.13
KIRSBERG,14.29000000000002,51.21
KODIAK__,-152.5,57.74
KOGANEI3,139.49,35.71
KOGANEI_,139.49,35.71
KOKEE12M,-159.66,22.13
KOKEE___,-159.67,22.13
KP-VLBA_,-111.61,31.96
KUNMING_,102.80000000000001,24.88
KWAJAL26,167.48,9.4
LA-VLBA_,-106.25,35.78
LEONRDOK,-95.8,35.91
MACGO12M,-104.01,30.4
MAMMOTHL,-118.95,37.64
MARCUS__,153.98,24.29
MARPOINT,-77.23,38.37
MATERA__,16.69999999999999,40.65
MCD_7850,-104.02,30.68
MEDICINA,11.649999999999977,44.52
METSAHOV,24.379999999999995,60.24
MIAMI20_,-80.38,25.61
MILESMON,-105.86,46.4
MIURA___,139.65,35.21
MIYAZAKI,131.48,32.09
MIZNAO10,141.13,39.13
MIZUSGSI,141.2,39.11
MK-VLBA_,-155.46,19.8
