station;x;y;h
AIRA;130.59986234;31.82379448;322.387
ALGOPARK;-78.07272499;45.95549902;224.000
AUSTINTX;-97.69574848;30.33932932;189.637
AZORES;-25.65758439;37.74092259;58.572
ARECIBO;66.75269804;18.34417412;451.185
ATCA-104;149.56476070;-30.31288225;252.023
BADARY;102.23391594;51.77026183;821.578
BERMUDA;-64.66947211;32.36123096;-30.719
BLKBUTTE;-115.71981263;33.66374822;489.390
BLOOMIND;-86.49841598;39.17934711;217.942
BR-VLBA;-119.68327745;48.13122481;250.505
BREST;-4.50382863;48.40786743;104.491
CAMBRIDG;0.03715147;52.16694639;83.466
CARNUSTY;-2.78299118;56.47849801;57.875
CARROLGA;-85.10958449;33.57255256;299.522
CEDUNA;133.80983129;-31.86769190;164.621
CHICHI10;142.19500227;27.06722192;107.493
CHLBOLTN;-1.43842452;51.14500083;146.785
CRIMEA;33.97957118;44.39755112;50.192
CTVASBAY;-75.91885579;45.40000677;47.877
CTVASTJ;-52.67923629;47.59518411;158.112
DARNHALL;-2.53565394;53.15630200;111.880
DAITO;131.23339326;25.82893535;52.723
DEADMANL;-116.27887800;34.25499660;833.913
DSS11;-116.84942171;35.38951438;1005.557
DSS12;-116.80548694;35.29993759;962.173
DSS112;-116.80548695;35.29992864;959.261
DSS13;-116.79445698;35.24716474;1070.471
DSS14;-116.88953621;35.42590133;1001.408
DSS15;-116.88719372;35.42185344;973.247
DSS16;-116.87364772;35.34153987;944.005
DSS17;-116.87350336;35.34217707;936.941
DSS23;-116.87286097;35.33955079;945.385
DSS24;-116.87479209;35.33989308;951.453
DSS25;-116.87536155;35.33761226;960.163
DSS26;-116.87301509;35.33568933;969.457
DSS27;-116.77664844;35.23827228;1052.496
DSS28;-116.77888912;35.23827249;1064.681
DSS33;148.98308941;-35.40048913;684.135
DSS34;148.98196203;-35.39848320;692.043
DSS41;136.88747985;-31.38167046;150.960
DSS42;148.98126494;-35.40067900;674.652
DSS43;148.98126502;-35.40242875;688.902
DSS44;148.97777846;-35.58318829;1150.390
DSS45;148.97768416;-35.39845989;674.367
DSS46;148.98307932;-35.40501506;676.850
DSS49;148.26351304;-32.99840354;414.826
DSS51;27.68539173;-25.88975289;1415.706
DSS53;-4.24965468;40.42735556;826.798
DSS54;-4.25409924;40.42561986;836.988
DSS55;-4.25263326;40.42429588;819.059
DSS61;-4.24902473;40.42873743;840.457
DSS161;-4.24902464;40.42873732;837.388
DSS62;-4.36784164;40.45305668;787.215
DSS63;-4.24801104;40.43120794;864.836
DSS65;-4.25141973;40.42718399;833.839
DSS66;-4.25142015;40.42997311;849.876
EFLSBERG;6.88361054;50.52483246;416.705
ELY;-114.84296327;39.29317827;1886.218
FD-VLBA;-103.94482051;30.63502970;1606.434
FLAGSTAF;-111.63474487;35.21469637;2144.680
FORTLEZA;-38.42585847;-3.87785906;23.074
FORTORDS;-121.77214850;36.58937185;249.956
FORT_ORD;-121.77327439;36.66978730;23.825
FTD_7900;-103.94733461;30.63578755;1583.395
GBT-VLBA;-79.83983859;38.43312908;823.747
GGAO7108;-76.82654187;39.02192589;13.736
GIFU11;136.73706533;35.46759146;60.288
GIFU3;136.73952244;35.46234505;53.773
GILCREEK;-147.49751451;64.97841256;332.070
GOLDVENU;-116.79488657;35.24769935;1062.922
GORF7102;-76.82807270;39.02066487;17.950
GRASSE;6.92069768;43.75462731;1318.629
HALEAKAL;-156.25605064;20.70761323;3067.861
HARTRAO;27.68539267;-25.88975181;1415.710
HATCREEK;-121.47051568;40.81733935;1009.270
HAYSTACK;-71.48816065;42.62329680;116.685
HN-VLBA;-71.98657970;42.93360973;295.569
HOBART26;147.44051782;-42.80358604;65.105
HOFN;-15.19744282;64.26774532;78.275
HOHENFRG;10.47645124;53.05065327;149.815
HOHNBERG;11.01788551;47.80095841;1005.719
HRAS_085;-103.94726287;30.63672400;1595.112
JODRELL1;-2.30857650;53.23653943;179.412
JODRELL2;-2.30390389;53.23396349;143.774
JPL_MV1;-118.17333411;34.20505898;424.077
KAINAN;135.22994594;34.15604069;60.468
KANOZAN;139.95296461;35.25505514;373.262
KARLBURG;13.60925212;53.98358516;77.105
KASHIM11;140.65747222;35.95559064;62.450
KASHIM34;140.66008971;35.95591069;78.407
KASHIMA;140.66273597;35.95411168;80.099
KAUAI;-159.66516443;22.12629971;1168.321
KIRSBERG;14.28622711;51.21424430;261.228
KODIAK;-152.49722420;57.73998644;31.257
KOGANEI;139.48808241;35.71055728;125.370
KOGANEI3;139.48756459;35.70696003;114.448
KOKEE;-159.66509771;22.12663803;1176.599
KP-VLBA;-111.61242234;31.95630442;1901.999
KWAJAL26;167.48214621;9.39875532;57.415
LA-VLBA;-106.24559568;35.77512345;1962.443
LEONRDOK;-95.79507186;35.90901649;226.277
MAMMOTHL;-118.94517701;37.64164778;2310.400
MARCUS;153.98420889;24.28994113;41.737
MARPOINT;-77.23057649;38.37424743;-13.478
MATERA;16.70401586;40.64952394;543.371
MCD_7850;-104.01509301;30.68049753;2004.226
MEDICINA;11.64693287;44.52049252;67.185
METSHOVI;24.38416934;60.24196494;59.627
METSAHOV;24.39310877;60.21780875;75.630
MIAMI20;-80.38474120;25.61374926;-11.782
MILESMON;-105.86083880;46.39654307;703.504
MIURA;139.65037924;35.20742190;105.155
MIYAZAKI;131.48279359;32.09077562;107.247
MIZNAO10;141.13234803;39.13337256;110.956
MIZUSGSI;141.20399923;39.11041358;173.178
MK-VLBA;-155.45550252;19.80138085;3763.050
MOJAVE12;-116.88761608;35.33163105;910.231
MOJ_7288;-116.89152216;35.33123515;896.105
MON_PEAK;-116.42281736;32.89176677;1838.745
MOPRA;149.09964418;-31.26781006;867.318
MV2ONSLA;11.92539504;57.39548348;43.372
NL-VLBA;-91.57413734;41.77142473;222.277
NOBEY_6M;138.47216975;35.94087259;1389.555
NOME;-165.37122758;64.56270261;331.657
NOTO;14.98904758;36.87604986;143.235
NOTOX;14.98904758;36.87604986;143.235
NRAO20;-79.82551868;38.43685164;806.617
NRAO85_1;-79.82817994;38.43591798;807.686
NRAO85_3;-79.84335170;38.42958540;785.848
NRAO_140;-79.83577883;38.43782361;812.530
NYALES20;11.86969169;78.92911027;87.271
OCOTILLO;-115.79618831;32.79010235;-36.732
OHIGGINS;-57.90082093;-63.32112582;39.922
ONSALA60;11.92635438;57.39583634;59.279
ONSALA85;11.91776984;57.39307023;58.424
OV-VLBA;-118.27705382;37.23165054;1196.321
OVRO_130;-118.28272011;37.23145861;1200.860
OVR_7853;-118.29379220;37.23259996;1178.144
PARKES;148.26351410;-32.99840119;414.817
PBLOSSOM;-117.92239239;34.51213135;890.862
PENTICTN;-119.61989414;49.32258867;529.636
PICOVEL;-3.39260869;37.06616367;2921.720
PIETOWN;-108.11918935;34.30101752;2364.679
PINFLATS;-116.45880418;33.60924875;1235.554
PLATTVIL;-104.72634532;40.18279316;1501.385
PRESIDIO;-122.45507087;37.80530361;-29.436
PT_REYES;-122.93659706;38.10352684;-2.389
PVERDES;-118.40355278;33.74376292;69.347
QUINCY;-120.94442595;39.97455447;1105.761
RICHMOND;-80.38471026;25.61375733;-13.618
ROBLED32;-4.24902463;40.42873835;840.574
SAGARA;138.18287289;34.67755679;151.406
SANPAULA;-118.99879342;34.38786985;184.885
SANTIA12;-70.66831116;-33.15147356;730.289
SC-VLBA;-64.58363302;17.75658112;-14.998
SEATTLE1;-122.24912600;47.68568637;-16.435
SESHAN25;121.19965886;31.09916279;29.430
SEST;-70.73234815;-29.26345179;2415.756
