BAS date epoch year locations length length_sigma transverse transverse_sigma horizontal horizontal_sigma 
BAS_LCL:  80JUL26X               EPOCH: 1980.56816 HAYSTACK/ONSALA60  5599714495.30 48.15      -29.53  32.14    91.00  52.15      
BAS_LCL:  80JUL27X               EPOCH: 1980.57070 HAYSTACK/ONSALA60  5599714360.49 59.17       56.70  39.33   -67.89  62.21      
BAS_LCL:  80SEP26X               EPOCH: 1980.74036 HAYSTACK/ONSALA60  5599714419.38 12.49      -18.72  11.89    29.80  23.85      
BAS_LCL:  80SEP27X               EPOCH: 1980.74322 HAYSTACK/ONSALA60  5599714429.45 15.47      -23.97  14.97    32.58  25.69      
BAS_LCL:  80SEP28X               EPOCH: 1980.74595 HAYSTACK/ONSALA60  5599714449.46 10.47       11.11   9.77     5.14  20.95      
BAS_LCL:  80SEP29X               EPOCH: 1980.74868 HAYSTACK/ONSALA60  5599714457.97 12.56      -33.44  14.36    46.38  27.70      
BAS_LCL:  80SEP30X               EPOCH: 1980.75141 HAYSTACK/ONSALA60  5599714429.18 12.91        1.05  14.59    29.57  30.85      
BAS_LCL:  80OCT01X               EPOCH: 1980.75416 HAYSTACK/ONSALA60  5599714483.37 49.25      -88.41  49.65    41.17  75.59      
BAS_LCL:  80OCT02X               EPOCH: 1980.75678 HAYSTACK/ONSALA60  5599714465.11 22.68      -11.00  15.28    14.63  25.77      
BAS_LCL:  80OCT16X               EPOCH: 1980.79497 HAYSTACK/ONSALA60  5599714454.05  8.65        1.66   9.03    17.13  19.38      
BAS_LCL:  80OCT17X               EPOCH: 1980.79783 HAYSTACK/ONSALA60  5599714439.40  8.45       19.18   9.95   -14.77  18.58      
BAS_LCL:  80OCT18X               EPOCH: 1980.80056 HAYSTACK/ONSALA60  5599714462.72 22.45       -1.28  23.15    15.25  32.52      
BAS_LCL:  80OCT19X               EPOCH: 1980.80329 HAYSTACK/ONSALA60  5599714429.32  9.07      -23.69  12.08    24.25  13.68      
BAS_LCL:  80OCT20X               EPOCH: 1980.80602 HAYSTACK/ONSALA60  5599714451.37  8.31        2.91   9.50    19.88  17.47      
BAS_LCL:  80OCT21X               EPOCH: 1980.80875 HAYSTACK/ONSALA60  5599714463.79 12.14       -4.45  12.00    13.72  21.12      
BAS_LCL:  80OCT22X               EPOCH: 1980.81148 HAYSTACK/ONSALA60  5599714427.54  7.17       -0.84   8.62   -12.68  15.69      
BAS_LCL:  80DEC01XA              EPOCH: 1980.92025 HAYSTACK/ONSALA60  5599714419.12 15.18       22.04  22.87   -24.17  25.14      
BAS_LCL:  80DEC19XA              EPOCH: 1980.97023 HAYSTACK/ONSALA60  5599714433.24 11.07      -18.24  20.72    20.08  22.77      
BAS_LCL:  81JAN22XA              EPOCH: 1981.06331 HAYSTACK/ONSALA60  5599714434.35 13.08       25.17  35.27   -27.64  38.76      
BAS_LCL:  81FEB27X               EPOCH: 1981.16176 HAYSTACK/ONSALA60  5599714436.05 24.14       15.52  41.90   -17.03  46.06      
BAS_LCL:  81NOV18X               EPOCH: 1981.88426 HAYSTACK/ONSALA60  5599714488.11 28.35       26.38  66.29   -17.90  42.41      
BAS_LCL:  81NOV19X               EPOCH: 1981.88723 HAYSTACK/ONSALA60  5599714479.67 11.07      -10.55   9.63    24.50  11.73      
BAS_LCL:  82JUN18X               EPOCH: 1982.46499 HAYSTACK/ONSALA60  5599714485.49  7.54       -3.28   7.78     7.11   7.92      
BAS_LCL:  82JUN19XA              EPOCH: 1982.46784 HAYSTACK/ONSALA60  5599714477.22  8.50       -1.98  17.07     5.73  13.15      
BAS_LCL:  82JUN20XA              EPOCH: 1982.47052 HAYSTACK/ONSALA60  5599714467.50  9.09      -18.54   8.84    21.91  11.18      
BAS_LCL:  82DEC18X               EPOCH: 1982.96509 HAYSTACK/ONSALA60  5599714496.32 13.86        1.82  13.25     0.99  20.45      
BAS_LCL:  83MAY05X               EPOCH: 1983.34460 HAYSTACK/ONSALA60  5599714501.53  9.33        0.37  10.65    12.95  21.06      
BAS_LCL:  83MAY11X               EPOCH: 1983.35887 HAYSTACK/ONSALA60  5599714527.41 48.97      -12.12  43.78    42.22  54.31      
BAS_LCL:  83AUG30X               EPOCH: 1983.66409 HAYSTACK/ONSALA60  5599714519.19 10.90       -0.00   0.23    -0.04   0.31      
BAS_LCL:  83OCT28X               EPOCH: 1983.82563 HAYSTACK/ONSALA60  5599714502.05 11.37        0.00   0.23    -0.01   0.31      
BAS_LCL:  83NOV17X               EPOCH: 1983.88037 HAYSTACK/ONSALA60  5599714495.36  8.96       -0.00   0.23     0.01   0.31      
BAS_LCL:  83DEC22X               EPOCH: 1983.97617 HAYSTACK/ONSALA60  5599714511.15 10.15       -0.00   0.23    -0.02   0.31      
BAS_LCL:  84FEB24X               EPOCH: 1984.15206 HAYSTACK/ONSALA60  5599714502.17 10.54        0.00   0.23     0.00   0.31      
BAS_LCL:  84APR19X               EPOCH: 1984.30264 HAYSTACK/ONSALA60  5599714500.51  8.26       -0.32   8.69     0.22   5.84      
BAS_LCL:  84MAY19X               EPOCH: 1984.38410 HAYSTACK/ONSALA60  5599714500.80 11.39        0.00   0.23     0.01   0.31      
BAS_LCL:  84NOV15X               EPOCH: 1984.87690 HAYSTACK/ONSALA60  5599714518.08  9.47       -0.00   0.23    -0.01   0.31      
BAS_LCL:  85JAN24X               EPOCH: 1985.06857 HAYSTACK/ONSALA60  5599714529.74  7.28       -5.14   2.06    -1.53   1.26      
BAS_LCL:  85MAR05X               EPOCH: 1985.17898 HAYSTACK/ONSALA60  5599714524.76  6.18       -8.00   4.92    17.05   8.72      
BAS_LCL:  85APR24X               EPOCH: 1985.31494 HAYSTACK/ONSALA60  5599714543.95  9.01        0.01   2.90    -0.04   1.40      
